,PREY,PREDATOR
52,HIPPOGLOSSOIDES_PLATESSOIDES,AMBLYRAJA_HYPERBOREA
53,LYCODES_ESMARKII,AMBLYRAJA_HYPERBOREA
54,LYCODES_EUDIPLEUROSTICTUS,AMBLYRAJA_HYPERBOREA
55,LYCODES_RETICULATUS,AMBLYRAJA_HYPERBOREA
56,LYCODES_SEMINUDUS,AMBLYRAJA_HYPERBOREA
57,MACROURUS_BERGLAX,AMBLYRAJA_HYPERBOREA
58,MELANOGRAMMUS_AEGLEFINUS,AMBLYRAJA_HYPERBOREA
59,MICROMESISTIUS_POUTASSOU,AMBLYRAJA_HYPERBOREA
60,PANDALUS_BOREALIS,AMBLYRAJA_HYPERBOREA
61,POLYCHAETA,AMBLYRAJA_HYPERBOREA
62,REINHARDTIUS_HIPPOGLOSSOIDES,AMBLYRAJA_HYPERBOREA
63,ROSSIA_SP,AMBLYRAJA_HYPERBOREA
64,SEBASTES_MARINUS,AMBLYRAJA_HYPERBOREA
65,SEBASTES_MENTELLA,AMBLYRAJA_HYPERBOREA
66,SEBASTES_SP,AMBLYRAJA_HYPERBOREA
67,THEMISTO_ABYSSORUM,AMBLYRAJA_HYPERBOREA
68,THEMISTO_LIBELLULA,AMBLYRAJA_HYPERBOREA
69,THYSANOESSA_INERMIS,AMBLYRAJA_HYPERBOREA
70,THYSANOESSA_LONGICAUDATA,AMBLYRAJA_HYPERBOREA
71,AMBLYRAJA_RADIATA,AMBLYRAJA_RADIATA
72,AMMODYTES_SPP,AMBLYRAJA_RADIATA
73,ANARHICHAS_DENTICULATUS,AMBLYRAJA_RADIATA
74,ANARHICHAS_LUPUS,AMBLYRAJA_RADIATA
75,ANARHICHAS_MINOR,AMBLYRAJA_RADIATA
76,ARTEDIELLUS_ATLANTICUS,AMBLYRAJA_RADIATA
77,BOREOGADUS_SAIDA,AMBLYRAJA_RADIATA
78,BROSME_BROSME,AMBLYRAJA_RADIATA
79,CHIONOECETES_OPILIO,AMBLYRAJA_RADIATA
80,CLUPEA_HARENGUS,AMBLYRAJA_RADIATA
81,COTTUNCULUS_MICROPS,AMBLYRAJA_RADIATA
82,CUCUMARIA_FRONDOSA,AMBLYRAJA_RADIATA
83,EUPHYSA_FLAMMEA,AMBLYRAJA_RADIATA
84,GADUS_MORHUA,AMBLYRAJA_RADIATA
85,GLYPTOCEPHALUS_CYNOGLOSSUS,AMBLYRAJA_RADIATA
86,GONATUS_FABRICII,AMBLYRAJA_RADIATA
87,HIPPOGLOSSOIDES_PLATESSOIDES,AMBLYRAJA_RADIATA
88,HYAS_SP,AMBLYRAJA_RADIATA
89,LEPTAGONUS_DECAGONUS,AMBLYRAJA_RADIATA
90,LIPARIS_FABRICII,AMBLYRAJA_RADIATA
91,LIPARIS_GIBBUS,AMBLYRAJA_RADIATA
92,LIPARIS_MONTAGUI,AMBLYRAJA_RADIATA
93,LUMPENUS_LAMPRETAEFORMIS,AMBLYRAJA_RADIATA
94,LYCODES_ESMARKII,AMBLYRAJA_RADIATA
95,MACROURUS_BERGLAX,AMBLYRAJA_RADIATA
96,MALLOTUS_VILLOSUS,AMBLYRAJA_RADIATA
97,MEGANYCTIPHANES_NORVEGICA,AMBLYRAJA_RADIATA
98,MELANOGRAMMUS_AEGLEFINUS,AMBLYRAJA_RADIATA
99,METRIDIA_LONGA,AMBLYRAJA_RADIATA
100,OPHIURA_SP,AMBLYRAJA_RADIATA
101,PAGURUS_SP,AMBLYRAJA_RADIATA
102,PANDALUS_BOREALIS,AMBLYRAJA_RADIATA
103,PARALITHODES_CAMTSCHATICUS,AMBLYRAJA_RADIATA
104,POLLACHIUS_VIRENS,AMBLYRAJA_RADIATA
105,PONTOPHILUS_NORVEGICUS,AMBLYRAJA_RADIATA
106,PYCNOGONIDA_G_SP,AMBLYRAJA_RADIATA
107,REINHARDTIUS_HIPPOGLOSSOIDES,AMBLYRAJA_RADIATA
108,SEBASTES_MARINUS,AMBLYRAJA_RADIATA
109,SEBASTES_MENTELLA,AMBLYRAJA_RADIATA
110,SEBASTES_SP,AMBLYRAJA_RADIATA
111,THEMISTO_ABYSSORUM,AMBLYRAJA_RADIATA
112,THYSANOESSA_INERMIS,AMBLYRAJA_RADIATA
113,THYSANOESSA_LONGICAUDATA,AMBLYRAJA_RADIATA
114,THYSANOESSA_RASCHII,AMBLYRAJA_RADIATA
115,TRIGLOPS_MURRAYI,AMBLYRAJA_RADIATA
116,TRIGLOPS_NYBELINI,AMBLYRAJA_RADIATA
117,ULCINA_OLRIKII,AMBLYRAJA_RADIATA
118,CALANUS_FINMARCHICUS,AMMODYTES_SPP
119,CALANUS_GLACIALIS,AMMODYTES_SPP
120,CALANUS_HYPERBOREUS,AMMODYTES_SPP
121,OITHONA_SIMILIS,AMMODYTES_SPP
122,AURELIA_AURITA,ANARHICHAS_DENTICULATUS
123,BEROE_CUCUMIS,ANARHICHAS_DENTICULATUS
124,BOLINOPSIS_INFUNDIBULUM,ANARHICHAS_DENTICULATUS
125,CALANUS_FINMARCHICUS,ANARHICHAS_DENTICULATUS
126,CALANUS_GLACIALIS,ANARHICHAS_DENTICULATUS
127,CALANUS_HYPERBOREUS,ANARHICHAS_DENTICULATUS
128,EUPHYSA_FLAMMEA,ANARHICHAS_DENTICULATUS
129,GORGONOCEPHALUS_SP,ANARHICHAS_DENTICULATUS
130,MELANOGRAMMUS_AEGLEFINUS,ANARHICHAS_DENTICULATUS
131,MERTENSIA_OVUM,ANARHICHAS_DENTICULATUS
132,MICROMESISTIUS_POUTASSOU,ANARHICHAS_DENTICULATUS
133,OPHIURA_SP,ANARHICHAS_DENTICULATUS
134,PAGURUS_SP,ANARHICHAS_DENTICULATUS
135,PANDALUS_BOREALIS,ANARHICHAS_DENTICULATUS
136,SABINEA_SP,ANARHICHAS_DENTICULATUS
137,ASCIDIACEA_G_SP,ANARHICHAS_LUPUS
138,ASTARTE_SP,ANARHICHAS_LUPUS
139,BALANUS_SP,ANARHICHAS_LUPUS
140,BUCCINIDAE_SP,ANARHICHAS_LUPUS
141,CALANUS_FINMARCHICUS,ANARHICHAS_LUPUS
142,CALANUS_GLACIALIS,ANARHICHAS_LUPUS
143,CALANUS_HYPERBOREUS,ANARHICHAS_LUPUS
144,CHLAMYS_ISLANDICA,ANARHICHAS_LUPUS
145,COLUS_SABINI,ANARHICHAS_LUPUS
146,CTENODISCUS_CRISPATUS,ANARHICHAS_LUPUS
147,FISH_EGG_AND_LARVAE,ANARHICHAS_LUPUS
148,MACOMA_SP,ANARHICHAS_LUPUS
149,MEGANYCTIPHANES_NORVEGICA,ANARHICHAS_LUPUS
150,MYTILUS_EDULIS,ANARHICHAS_LUPUS
151,PAGURUS_SP,ANARHICHAS_LUPUS
152,PANDALUS_BOREALIS,ANARHICHAS_LUPUS
153,PORIFERA_G_SP,ANARHICHAS_LUPUS
154,SABINEA_SP,ANARHICHAS_LUPUS
155,STRONGYLOCENTROTUS_SP,ANARHICHAS_LUPUS
156,THYSANOESSA_INERMIS,ANARHICHAS_LUPUS
157,THYSANOESSA_LONGICAUDATA,ANARHICHAS_LUPUS
158,THYSANOESSA_RASCHII,ANARHICHAS_LUPUS
159,CALANUS_FINMARCHICUS,ANARHICHAS_MINOR
160,CALANUS_GLACIALIS,ANARHICHAS_MINOR
161,CALANUS_HYPERBOREUS,ANARHICHAS_MINOR
162,GADUS_MORHUA,ANARHICHAS_MINOR
163,MEGANYCTIPHANES_NORVEGICA,ANARHICHAS_MINOR
164,MELANOGRAMMUS_AEGLEFINUS,ANARHICHAS_MINOR
165,OPHIURA_SP,ANARHICHAS_MINOR
166,PAGURUS_SP,ANARHICHAS_MINOR
167,PANDALUS_BOREALIS,ANARHICHAS_MINOR
168,SABINEA_SP,ANARHICHAS_MINOR
169,SEBASTES_SP,ANARHICHAS_MINOR
170,STRONGYLOCENTROTUS_SP,ANARHICHAS_MINOR
171,THYSANOESSA_INERMIS,ANARHICHAS_MINOR
172,THYSANOESSA_LONGICAUDATA,ANARHICHAS_MINOR
173,THYSANOESSA_RASCHII,ANARHICHAS_MINOR
174,CALANUS_GLACIALIS,ANISARCHUS_MEDIUS
175,OITHONA_SPINIROSTRIS/ATLANTICA,ANISARCHUS_MEDIUS
176,ONCAEA_BOREALIS,ANISARCHUS_MEDIUS
177,PSEUDOCALANUS_SPP,ANISARCHUS_MEDIUS
178,DETRITUS,APHELOCHAETA_MARIONI
179,DIATOM,APHELOCHAETA_MARIONI
180,FISH_EGG_AND_LARVAE,APHELOCHAETA_MARIONI
181,DETRITUS,APHERUSA_GLACIALIS
182,MACROALGAE,APHERUSA_GLACIALIS
183,GONATUS_FABRICII,ARCTOZENUS_RISSO
184,LUMBRINERIS_SP,ARGENTINA_SILUS
185,MEGANYCTIPHANES_NORVEGICA,ARGENTINA_SILUS
186,OIKOPLEURA_SPP,ARGENTINA_SILUS
187,SCALIBREGMA_INFLATUM,ARGENTINA_SILUS
188,DETRITUS,ARRHIS_PHYLLONYX
189,GONATUS_FABRICII,ARTEDIELLUS_ATLANTICUS
190,OPHIURA_SP,ARTEDIELLUS_ATLANTICUS
191,THEMISTO_ABYSSORUM,ARTEDIELLUS_ATLANTICUS
192,THEMISTO_LIBELLULA,ARTEDIELLUS_ATLANTICUS
193,DETRITUS,ASCIDIACEA_G_SP
194,DETRITUS,ASELLOTA_INDET
195,DIATOM,ASELLOTA_INDET
196,DETRITUS,ASTARTE_CRENATA
197,ASTERIAS_RUBENS,ASTERIAS_RUBENS
198,BALANUS_SP,ASTERIAS_RUBENS
199,CROSSASTER_PAPPOSUS,ASTERIAS_RUBENS
200,MYTILUS_EDULIS,ASTERIAS_RUBENS
201,OPHIACANTHA_BIDENTATA,ASTERIAS_RUBENS
202,OPHIOPHOLIS_ACULEATA,ASTERIAS_RUBENS
203,OPHIURA_SP,ASTERIAS_RUBENS
204,STRONGYLOCENTROTUS_SP,ASTERIAS_RUBENS
205,CALANUS_FINMARCHICUS,AURELIA_AURITA
206,CALANUS_GLACIALIS,AURELIA_AURITA
207,CALANUS_HYPERBOREUS,AURELIA_AURITA
208,METRIDIA_LONGA,AURELIA_AURITA
209,MICROCALANUS_SPP,AURELIA_AURITA
210,OITHONA_SIMILIS,AURELIA_AURITA
211,AMMODYTES_SPP,BALAENOPTERA_ACUTOROSTRATA
212,BOREOGADUS_SAIDA,BALAENOPTERA_ACUTOROSTRATA
213,CLIONE_LIMACINA,BALAENOPTERA_ACUTOROSTRATA
214,CLUPEA_HARENGUS,BALAENOPTERA_ACUTOROSTRATA
215,GADUS_MORHUA,BALAENOPTERA_ACUTOROSTRATA
216,GLYPTOCEPHALUS_CYNOGLOSSUS,BALAENOPTERA_ACUTOROSTRATA
217,MALLOTUS_VILLOSUS,BALAENOPTERA_ACUTOROSTRATA
218,MEGANYCTIPHANES_NORVEGICA,BALAENOPTERA_ACUTOROSTRATA
219,MELANOGRAMMUS_AEGLEFINUS,BALAENOPTERA_ACUTOROSTRATA
220,MICROMESISTIUS_POUTASSOU,BALAENOPTERA_ACUTOROSTRATA
221,POLLACHIUS_VIRENS,BALAENOPTERA_ACUTOROSTRATA
222,REINHARDTIUS_HIPPOGLOSSOIDES,BALAENOPTERA_ACUTOROSTRATA
223,SCOMBER_SCOMBRUS,BALAENOPTERA_ACUTOROSTRATA
224,SEBASTES_MENTELLA,BALAENOPTERA_ACUTOROSTRATA
225,SEBASTES_SP,BALAENOPTERA_ACUTOROSTRATA
226,THEMISTO_ABYSSORUM,BALAENOPTERA_ACUTOROSTRATA
227,THEMISTO_LIBELLULA,BALAENOPTERA_ACUTOROSTRATA
228,THYSANOESSA_INERMIS,BALAENOPTERA_ACUTOROSTRATA
229,THYSANOESSA_LONGICAUDATA,BALAENOPTERA_ACUTOROSTRATA
230,THYSANOESSA_RASCHII,BALAENOPTERA_ACUTOROSTRATA
231,AMMODYTES_SPP,BALAENOPTERA_PHYSALUS
232,BOREOGADUS_SAIDA,BALAENOPTERA_PHYSALUS
233,CALANUS_GLACIALIS,BALAENOPTERA_PHYSALUS
234,CALANUS_HYPERBOREUS,BALAENOPTERA_PHYSALUS
235,CLIONE_LIMACINA,BALAENOPTERA_PHYSALUS
236,CLUPEA_HARENGUS,BALAENOPTERA_PHYSALUS
237,FULMARUS_GLACIALIS,BALAENOPTERA_PHYSALUS
238,GADUS_MORHUA,BALAENOPTERA_PHYSALUS
239,GLYPTOCEPHALUS_CYNOGLOSSUS,BALAENOPTERA_PHYSALUS
240,GONATUS_FABRICII,BALAENOPTERA_PHYSALUS
241,MALLOTUS_VILLOSUS,BALAENOPTERA_PHYSALUS
242,MEGANYCTIPHANES_NORVEGICA,BALAENOPTERA_PHYSALUS
243,MELANOGRAMMUS_AEGLEFINUS,BALAENOPTERA_PHYSALUS
244,MICROMESISTIUS_POUTASSOU,BALAENOPTERA_PHYSALUS
245,POLLACHIUS_VIRENS,BALAENOPTERA_PHYSALUS
246,SCOMBER_SCOMBRUS,BALAENOPTERA_PHYSALUS
247,SEBASTES_SP,BALAENOPTERA_PHYSALUS
248,THEMISTO_ABYSSORUM,BALAENOPTERA_PHYSALUS
249,THEMISTO_LIBELLULA,BALAENOPTERA_PHYSALUS
250,THYSANOESSA_INERMIS,BALAENOPTERA_PHYSALUS
251,THYSANOESSA_LONGICAUDATA,BALAENOPTERA_PHYSALUS
252,THYSANOESSA_RASCHII,BALAENOPTERA_PHYSALUS
253,DETRITUS,BALANUS_SP
254,DETRITUS,BATHYARCA_GLACIALIS
255,ANARHICHAS_MINOR,BATHYRAJA_SPINICAUDA
256,HIPPOGLOSSOIDES_PLATESSOIDES,BATHYRAJA_SPINICAUDA
257,LUMPENUS_LAMPRETAEFORMIS,BATHYRAJA_SPINICAUDA
258,MACROURUS_BERGLAX,BATHYRAJA_SPINICAUDA
259,MEGANYCTIPHANES_NORVEGICA,BATHYRAJA_SPINICAUDA
260,MELANOGRAMMUS_AEGLEFINUS,BATHYRAJA_SPINICAUDA
261,MICROMESISTIUS_POUTASSOU,BATHYRAJA_SPINICAUDA
262,REINHARDTIUS_HIPPOGLOSSOIDES,BATHYRAJA_SPINICAUDA
263,SEBASTES_MARINUS,BATHYRAJA_SPINICAUDA
264,SEBASTES_MENTELLA,BATHYRAJA_SPINICAUDA
265,THYSANOESSA_INERMIS,BATHYRAJA_SPINICAUDA
266,BOLINOPSIS_INFUNDIBULUM,BEROE_CUCUMIS
267,CALANUS_FINMARCHICUS,BEROE_CUCUMIS
268,MICROCALANUS_SPP,BEROE_CUCUMIS
269,OITHONA_SIMILIS,BEROE_CUCUMIS
270,OITHONA_SPINIROSTRIS/ATLANTICA,BEROE_CUCUMIS
271,ONCAEA_BOREALIS,BEROE_CUCUMIS
272,CALANUS_FINMARCHICUS,BOLINOPSIS_INFUNDIBULUM
273,CALANUS_GLACIALIS,BOLINOPSIS_INFUNDIBULUM
274,CALANUS_HYPERBOREUS,BOLINOPSIS_INFUNDIBULUM
275,METRIDIA_LONGA,BOLINOPSIS_INFUNDIBULUM
276,MICROCALANUS_SPP,BOLINOPSIS_INFUNDIBULUM
277,OITHONA_SIMILIS,BOLINOPSIS_INFUNDIBULUM
278,PSEUDOCALANUS_SPP,BOLINOPSIS_INFUNDIBULUM
279,APHERUSA_GLACIALIS,BOREOGADUS_SAIDA
280,CALANUS_FINMARCHICUS,BOREOGADUS_SAIDA
281,CALANUS_GLACIALIS,BOREOGADUS_SAIDA
282,CALANUS_HYPERBOREUS,BOREOGADUS_SAIDA
283,GAMMARUS_WILKITZKII,BOREOGADUS_SAIDA
284,MEGANYCTIPHANES_NORVEGICA,BOREOGADUS_SAIDA
285,ONISIMUS_GLACIALIS,BOREOGADUS_SAIDA
286,ONISIMUS_NANSENI,BOREOGADUS_SAIDA
287,THEMISTO_ABYSSORUM,BOREOGADUS_SAIDA
288,THEMISTO_LIBELLULA,BOREOGADUS_SAIDA
289,THYSANOESSA_INERMIS,BOREOGADUS_SAIDA
290,THYSANOESSA_LONGICAUDATA,BOREOGADUS_SAIDA
291,THYSANOESSA_RASCHII,BOREOGADUS_SAIDA
292,APHRODITA_ACULEATA,BROSME_BROSME
293,ARRHIS_PHYLLONYX,BROSME_BROSME
294,MAUROLICUS_MUELLERI,BROSME_BROSME
295,MICROMESISTIUS_POUTASSOU,BROSME_BROSME
296,MUNIDA_TENUIMANA,BROSME_BROSME
297,PANDALUS_BOREALIS,BROSME_BROSME
298,RHACHOTROPIS_MACROPUS,BROSME_BROSME
299,SEBASTES_MARINUS,BROSME_BROSME
300,SEBASTES_MENTELLA,BROSME_BROSME
301,SEBASTES_SP,BROSME_BROSME
302,DIATOM,CALANUS_HELGOLANDICUS
303,CAREPROCTUS_SP,CAREPROCTUS_SP
304,SCLEROCRANGON_FEROX,CAREPROCTUS_SP
305,THEMISTO_ABYSSORUM,CAREPROCTUS_SP
306,THEMISTO_LIBELLULA,CAREPROCTUS_SP
307,THYSANOESSA_INERMIS,CAREPROCTUS_SP
308,CIRRATULIDAE_INDET,CHAETOZONE_SP
309,DETRITUS,CHAETOZONE_SP
310,LUMBRINERIS_SP,CHIMAERA_MONSTROSA
311,OPHIURA_SP,CHIMAERA_MONSTROSA
312,DETRITUS,CHONE_SP
313,DETRITUS,CIRRATULIDAE_INDET
314,DIATOM,CIRRATULIDAE_INDET
315,LIMACINA_HELICINA,CLIONE_LIMACINA
316,CALANUS_FINMARCHICUS,CLUPEA_HARENGUS
317,CALANUS_GLACIALIS,CLUPEA_HARENGUS
318,CALANUS_HYPERBOREUS,CLUPEA_HARENGUS
319,CLIONE_LIMACINA,CLUPEA_HARENGUS
320,CLUPEA_HARENGUS,CLUPEA_HARENGUS
321,LIMACINA_RETROVERSA,CLUPEA_HARENGUS
322,MEGANYCTIPHANES_NORVEGICA,CLUPEA_HARENGUS
323,OIKOPLEURA_SPP,CLUPEA_HARENGUS
324,PAREUCHAETA_NORVEGICA,CLUPEA_HARENGUS
325,PSEUDOCALANUS_SPP,CLUPEA_HARENGUS
326,THYSANOESSA_LONGICAUDATA,CLUPEA_HARENGUS
327,OPHIOPHOLIS_ACULEATA,COTTUNCULUS_MICROPS
328,OPHIURA_SP,COTTUNCULUS_MICROPS
329,POLYCHAETA,COTTUNCULUS_MICROPS
330,PYCNOGONIDA_G_SP,COTTUNCULUS_MICROPS
331,ASTERIAS_RUBENS,CROSSASTER_PAPPOSUS
332,BALANUS_SP,CROSSASTER_PAPPOSUS
333,MYTILUS_EDULIS,CROSSASTER_PAPPOSUS
334,OPHIACANTHA_BIDENTATA,CROSSASTER_PAPPOSUS
335,OPHIOPHOLIS_ACULEATA,CROSSASTER_PAPPOSUS
336,OPHIURA_SP,CROSSASTER_PAPPOSUS
337,STRONGYLOCENTROTUS_SP,CROSSASTER_PAPPOSUS
338,DETRITUS,CTENODISCUS_CRISPATUS
339,DETRITUS,CUCUMARIA_FRONDOSA
340,DIATOM,CUCUMARIA_FRONDOSA
341,ACARTIA_SPP,CYANEA_CAPILLATA
342,AGLANTHA_DIGITALE,CYANEA_CAPILLATA
343,AURELIA_AURITA,CYANEA_CAPILLATA
344,BEROE_CUCUMIS,CYANEA_CAPILLATA
345,BOLINOPSIS_INFUNDIBULUM,CYANEA_CAPILLATA
346,CALANUS_FINMARCHICUS,CYANEA_CAPILLATA
347,DIMOPHYES_ARCTICA,CYANEA_CAPILLATA
348,EUKROHNIA_HAMATA,CYANEA_CAPILLATA
349,FRITILLARIA_BOREALIS,CYANEA_CAPILLATA
350,MICROCALANUS_SPP,CYANEA_CAPILLATA
351,OIKOPLEURA_DIOICA,CYANEA_CAPILLATA
352,OIKOPLEURA_SPP,CYANEA_CAPILLATA
353,OITHONA_SIMILIS,CYANEA_CAPILLATA
354,OITHONA_SPINIROSTRIS/ATLANTICA,CYANEA_CAPILLATA
355,ONCAEA_BOREALIS,CYANEA_CAPILLATA
356,PSEUDOCALANUS_SPP,CYANEA_CAPILLATA
357,SAGITTA_ELEGANS,CYANEA_CAPILLATA
358,SARSIA_SPP,CYANEA_CAPILLATA
359,THEMISTO_LIBELLULA,CYANEA_CAPILLATA
360,APHERUSA_GLACIALIS,CYCLOPTERUS_LUMPUS
361,ASCIDIACEA_G_SP,CYCLOPTERUS_LUMPUS
362,GAMMARUS_WILKITZKII,CYCLOPTERUS_LUMPUS
363,ONISIMUS_GLACIALIS,CYCLOPTERUS_LUMPUS
364,ONISIMUS_NANSENI,CYCLOPTERUS_LUMPUS
365,OPHIOPHOLIS_ACULEATA,CYCLOPTERUS_LUMPUS
366,OPHIURA_SP,CYCLOPTERUS_LUMPUS
367,THEMISTO_LIBELLULA,CYCLOPTERUS_LUMPUS
368,AMMODYTES_SPP,CYSTOPHORA_CRISTATA
369,ANARHICHAS_DENTICULATUS,CYSTOPHORA_CRISTATA
370,ANARHICHAS_LUPUS,CYSTOPHORA_CRISTATA
371,ANARHICHAS_MINOR,CYSTOPHORA_CRISTATA
372,BOREOGADUS_SAIDA,CYSTOPHORA_CRISTATA
373,CLUPEA_HARENGUS,CYSTOPHORA_CRISTATA
374,GADUS_MORHUA,CYSTOPHORA_CRISTATA
375,GAMMARUS_WILKITZKII,CYSTOPHORA_CRISTATA
376,GONATUS_FABRICII,CYSTOPHORA_CRISTATA
377,HIPPOGLOSSOIDES_PLATESSOIDES,CYSTOPHORA_CRISTATA
378,LIPARIS_FABRICII,CYSTOPHORA_CRISTATA
379,LIPARIS_GIBBUS,CYSTOPHORA_CRISTATA
380,LIPARIS_MONTAGUI,CYSTOPHORA_CRISTATA
381,MALLOTUS_VILLOSUS,CYSTOPHORA_CRISTATA
382,MELANOGRAMMUS_AEGLEFINUS,CYSTOPHORA_CRISTATA
383,PANDALUS_BOREALIS,CYSTOPHORA_CRISTATA
384,POLLACHIUS_VIRENS,CYSTOPHORA_CRISTATA
385,SEBASTES_MARINUS,CYSTOPHORA_CRISTATA
386,SEBASTES_MENTELLA,CYSTOPHORA_CRISTATA
387,THEMISTO_ABYSSORUM,CYSTOPHORA_CRISTATA
388,THEMISTO_LIBELLULA,CYSTOPHORA_CRISTATA
389,THYSANOESSA_INERMIS,CYSTOPHORA_CRISTATA
390,THYSANOESSA_LONGICAUDATA,CYSTOPHORA_CRISTATA
391,THYSANOESSA_RASCHII,CYSTOPHORA_CRISTATA
392,AMMODYTES_SPP,DELPHINAPTERUS_LEUCAS
393,BOREOGADUS_SAIDA,DELPHINAPTERUS_LEUCAS
394,CLUPEA_HARENGUS,DELPHINAPTERUS_LEUCAS
395,GADUS_MORHUA,DELPHINAPTERUS_LEUCAS
396,GONATUS_FABRICII,DELPHINAPTERUS_LEUCAS
397,MALLOTUS_VILLOSUS,DELPHINAPTERUS_LEUCAS
398,PANDALUS_BOREALIS,DELPHINAPTERUS_LEUCAS
399,REINHARDTIUS_HIPPOGLOSSOIDES,DELPHINAPTERUS_LEUCAS
400,SEBASTES_MARINUS,DELPHINAPTERUS_LEUCAS
401,SEBASTES_MENTELLA,DELPHINAPTERUS_LEUCAS
402,SEBASTES_SP,DELPHINAPTERUS_LEUCAS
403,MACROALGAE,DETRITUS
404,DETRITUS,DIPTURUS_BATIS
405,GADUS_MORHUA,DIPTURUS_BATIS
406,HIPPOGLOSSOIDES_PLATESSOIDES,DIPTURUS_BATIS
407,HIPPOGLOSSUS_HIPPOGLOSSUS,DIPTURUS_BATIS
408,MELANOGRAMMUS_AEGLEFINUS,DIPTURUS_BATIS
409,PANDALUS_BOREALIS,DIPTURUS_BATIS
410,SEBASTES_SP,DIPTURUS_BATIS
411,DETRITUS,ELECTRA_ARCTICA
412,DIATOM,ELECTRA_ARCTICA
413,PANDALUS_BOREALIS,ENCHELYOPUS_CIMBRIUS
414,BOREOGADUS_SAIDA,ERIGNATHUS_BARBATUS
415,EUMICROTREMUS_SPINOSUS,ERIGNATHUS_BARBATUS
416,FISH_EGG_AND_LARVAE,ERIGNATHUS_BARBATUS
417,GADICULUS_ARGENTEUS,ERIGNATHUS_BARBATUS
418,GADUS_MORHUA,ERIGNATHUS_BARBATUS
419,GAMMARUS_WILKITZKII,ERIGNATHUS_BARBATUS
420,HIPPOGLOSSOIDES_PLATESSOIDES,ERIGNATHUS_BARBATUS
421,HIPPOGLOSSUS_HIPPOGLOSSUS,ERIGNATHUS_BARBATUS
422,LUMPENUS_FABRICII,ERIGNATHUS_BARBATUS
423,LUMPENUS_LAMPRETAEFORMIS,ERIGNATHUS_BARBATUS
424,MYOXOCEPHALUS_SCORPIUS,ERIGNATHUS_BARBATUS
425,PAGURUS_SP,ERIGNATHUS_BARBATUS
426,PANDALUS_BOREALIS,ERIGNATHUS_BARBATUS
427,POLYNOIDAE_INDET,ERIGNATHUS_BARBATUS
428,ROSSIA_SP,ERIGNATHUS_BARBATUS
429,SABINEA_SP,ERIGNATHUS_BARBATUS
430,SCALIBREGMA_INFLATUM,ERIGNATHUS_BARBATUS
